,小区名称,price,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,别墅类型
2460,丰乐奥体公馆,230万,金水区 索凌路北段 近4号线北二十里铺站,4室2厅1厨2卫,中楼层 (共26层),127.19㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,集中供暖,有,2022-06-26,商品房,2016-01-04,普通住宅,满五年,非共有,有抵押,已上传房本照片,,,
2461,银基王朝三期万和园,220万,金水区 燕庄 近1号线民航路站,3室2厅2厨2卫,低楼层 (共32层),130.27㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯六户,集中供暖,有,2022-07-10,商品房,2019-06-10,普通住宅,满两年,非共有,有抵押,已上传房本照片,,,
2462,农业银行家属院,102万,金水区 财富广场 近5号线省人民医院站,3室2厅1厨1卫,高楼层 (共7层),129.96㎡,平层,115.5㎡,板楼,南,砖混结构,简装,一梯两户,集中供暖,无,2021-09-07,房改房,2011-08-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2463,未来路108号院,279万,金水区 省人民医院 ,4室2厅1厨2卫,中楼层 (共16层),183.62㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯两户,自供暖,有,2021-11-27,商品房,2006-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2464,伟业龙湖上城,210万,金水区 杨金路 ,4室2厅1厨2卫,中楼层 (共16层),147.71㎡,平层,暂无数据,板塔结合,东 东南 南,钢混结构,毛坯,一梯四户,集中供暖,暂无数据,2021-09-18,商品房,2019-03-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
2465,大观国际居住区,230万,金水区 燕庄 ,3室2厅1厨2卫,中楼层 (共33层),139.71㎡,平层,110.96㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,2021-09-01,商品房,2016-12-09,普通住宅,满五年,非共有,有抵押 60万元 银行,已上传房本照片,,,
2466,河南省豫剧二团家属院,110万,金水区 大石桥 近5号线郑州人民医院站,3室1厅1厨1卫,中楼层 (共7层),94.57㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,集中供暖,暂无数据,2022-04-22,商品房,2019-04-13,普通住宅,满两年,非共有,有抵押 40万元,已上传房本照片,,,
2467,劳动厅家属院,159.8万,金水区 未来大厦 ,3室2厅1厨1卫,低楼层 (共6层),105.78㎡,平层,99.3㎡,板楼,南,砖混结构,简装,一梯两户,集中供暖,无,2021-05-06,商品房,2014-08-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2468,明鸿新城,230万,金水区 枣庄 ,3室2厅1厨2卫,中楼层 (共18层),151.18㎡,平层,123.9㎡,板楼,南,钢混结构,简装,两梯两户,自供暖,有,2021-07-11,商品房,2007-08-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2469,伟业龙湖上城,249万,金水区 杨金路 ,4室2厅1厨2卫,高楼层 (共11层),162.56㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,十梯两户,集中供暖,有,2021-04-19,商品房,2019-01-16,普通住宅,满两年,非共有,有抵押 200万元,已上传房本照片,,,
2470,金水区区委家属院,93万,金水区 徐寨 近2号线北三环站,3室2厅1厨1卫,高楼层 (共7层),98.78㎡,平层,87.38㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,2021-03-28,房改房,2013-04-03,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
